Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Usage Prompt Tokens (tokens),2056.00,2056.00,2056.00,8224.00,2056.00,2056.00,2056.00,2056.00,2056.00,2056.00,2056.00,2056.00,2056.00,0.00
Usage Total Tokens (tokens),3080.00,3080.00,3080.00,12320.00,3080.00,3080.00,3080.00,3080.00,3080.00,3080.00,3080.00,3080.00,3080.00,0.00

Metric,Value
Benchmark Duration (sec),58.30
Input Token Throughput (tokens/sec),141.04
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),70.24
Request Count,4.00
Request Throughput (requests/sec),0.07
Total Input Sequence Length (tokens),8224.00
Total Output Sequence Length (tokens),4096.00
Total Output Tokens (tokens),4096.00
Total Token Throughput (tokens/sec),211.28
Total Usage Completion Tokens (tokens),4096.00
Total Usage Prompt Tokens (tokens),8224.00
Total Usage Total Tokens (tokens),12320.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
