Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Request Latency (ms),14971.69,14836.62,15085.99,3832753.00,14912.71,14915.88,14939.38,14941.84,14955.63,15000.26,15039.48,15041.12,15043.79,42.30
Time to First Output Token (ms),3262.73,102.08,5745.11,835257.85,832.75,844.09,882.72,1555.52,2966.37,4404.48,5714.79,5734.50,5737.16,1614.23
Time to First Token (ms),3262.73,102.08,5745.11,835257.85,832.75,844.09,882.72,1555.52,2966.37,4404.48,5714.79,5734.50,5737.16,1614.23
Time to Second Token (ms),2508.65,22.65,4973.58,642213.89,84.61,86.07,114.00,1271.26,2516.55,3736.54,4950.13,4972.23,4973.32,1601.11
Tokens In Flight (tokens),70573.91,0.00,81676.00,,,,,,68737.00,,79361.00,80641.00,81537.00,6011.40
Usage Completion Tokens (tokens),128.00,128.00,128.00,32768.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Usage Prompt Tokens (tokens),512.00,512.00,512.00,131072.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,0.00
Usage Total Tokens (tokens),640.00,640.00,640.00,163840.00,640.00,640.00,640.00,640.00,640.00,640.00,640.00,640.00,640.00,0.00

Metric,Value
Benchmark Duration (sec),30.01
Input Token Throughput (tokens/sec),4366.57
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),1091.64
Request Count,256.00
Request Throughput (requests/sec),8.53
Total Input Sequence Length (tokens),131072.00
Total Output Sequence Length (tokens),32768.00
Total Output Tokens (tokens),32768.00
Total Token Throughput (tokens/sec),5458.21
Total Usage Completion Tokens (tokens),32768.00
Total Usage Prompt Tokens (tokens),131072.00
Total Usage Total Tokens (tokens),163840.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
