Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std

Metric,Value
Benchmark Duration (sec),28.58
Input Token Throughput (tokens/sec),1146.26
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),143.21
Request Count,4.00
Request Throughput (requests/sec),0.14
Total Input Sequence Length (tokens),32768.00
Total Output Sequence Length (tokens),4094.00
Total Output Tokens (tokens),479.00
Total Reasoning Tokens (tokens),3615.00
Total Token Throughput (tokens/sec),1289.47


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
