Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),121.57,0.00,41232.88,,,,,,119.64,,147.12,156.83,231.81,55.17
Active Decode Throughput Per User (tokens/sec/user),121.57,0.00,41232.88,,,,,,119.64,,147.12,156.83,231.81,55.17
Active Prefill Throughput (tokens/sec),1473.46,1463.45,1483.60,,,,,,1463.45,,1483.60,1483.60,1483.60,10.07
Active Prefill Throughput Per User (tokens/sec/user),1473.46,1463.45,1483.60,,,,,,1463.45,,1483.60,1483.60,1483.60,10.07
Active Total Throughput (tokens/sec),224.64,109.92,1483.60,,,,,,109.92,,135.99,1463.45,1483.60,358.99
Credit-to-Start Latency (ms),8.49,7.96,9.03,16.99,7.97,8.01,8.07,8.23,8.49,8.76,8.92,8.98,9.02,0.54
Decode Duration (ms),67362.16,60219.52,74504.80,134724.32,60362.37,60933.78,61648.05,63790.84,67362.16,70933.48,73076.27,73790.53,74361.94,7142.64
E2E Output Token Throughput (tokens/sec/user),113.40,102.35,124.45,226.80,102.57,103.46,104.56,107.88,113.40,118.93,122.24,123.35,124.23,11.05
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.02
Effective Decode Concurrency,0.92,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.27
Effective Decode Throughput (tokens/sec),112.28,0.00,41232.88,,,,,,117.77,,146.18,155.50,227.19,62.08
Effective Decode Throughput Per User (tokens/sec/user),112.28,0.00,41232.88,,,,,,117.77,,146.18,155.50,227.19,62.08
Effective Latency (CO-aware) (ms),72935.01,65828.85,80041.18,145870.02,65970.97,66539.47,67250.08,69381.93,72935.01,76488.09,78619.94,79330.56,79899.05,7106.16
Effective Prefill Concurrency,0.08,0.00,1.00,,,,,,0.00,,0.00,1.00,1.00,0.27
Effective Prefill Throughput (tokens/sec),112.30,0.00,1483.60,,,,,,0.00,,0.00,1463.45,1483.60,390.98
Effective Prefill Throughput Per User (tokens/sec/user),112.30,0.00,1483.60,,,,,,0.00,,0.00,1463.45,1483.60,390.98
Effective Total Throughput (tokens/sec),224.58,0.00,1483.60,,,,,,109.92,,135.99,1463.45,1483.60,358.96
