Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Metric,Value
Benchmark Duration (sec),83.10
Input Token Throughput (tokens/sec),1577.26
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),197.07
Request Count,16.00
Request Throughput (requests/sec),0.19
Total Input Sequence Length (tokens),131073.00
Total Output Sequence Length (tokens),16377.00
Total Output Tokens (tokens),1252.00
Total Reasoning Tokens (tokens),15125.00
Total Token Throughput (tokens/sec),1774.33


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
