Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Tokens In Flight (tokens),15283.04,0.00,18009.96,,,,,,16550.58,,17700.28,17860.65,17976.78,3266.16

Metric,Value
Benchmark Duration (sec),18.47
Input Token Throughput (tokens/sec),886.98
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),110.76
Request Count,2.00
Request Throughput (requests/sec),0.11
Total Input Sequence Length (tokens),16384.00
Total Output Sequence Length (tokens),2046.00
Total Output Tokens (tokens),442.00
Total Reasoning Tokens (tokens),1604.00
Total Token Throughput (tokens/sec),997.75
