Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Usage Prompt Tokens (tokens),512.00,512.00,512.00,131072.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,0.00
Usage Total Tokens (tokens),640.00,640.00,640.00,163840.00,640.00,640.00,640.00,640.00,640.00,640.00,640.00,640.00,640.00,0.00

Metric,Value
Benchmark Duration (sec),62.70
Input Token Throughput (tokens/sec),2090.54
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),522.64
Request Count,256.00
Request Throughput (requests/sec),4.08
Total Input Sequence Length (tokens),131072.00
Total Output Sequence Length (tokens),32768.00
Total Output Tokens (tokens),32768.00
Total Token Throughput (tokens/sec),2613.18
Total Usage Completion Tokens (tokens),32768.00
Total Usage Prompt Tokens (tokens),131072.00
Total Usage Total Tokens (tokens),163840.00
