Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Usage Prompt Tokens (tokens),512.00,512.00,513.00,1048577.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,0.02
Usage Total Tokens (tokens),640.00,640.00,641.00,1310721.00,640.00,640.00,640.00,640.00,640.00,640.00,640.00,640.00,640.00,0.02

Metric,Value
Benchmark Duration (sec),509.05
Input Token Throughput (tokens/sec),2059.86
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),514.96
Request Count,2048.00
Request Throughput (requests/sec),4.02
Total Input Sequence Length (tokens),1048577.00
Total Output Sequence Length (tokens),262144.00
Total Output Tokens (tokens),262144.00
Total Token Throughput (tokens/sec),2574.83
Total Usage Completion Tokens (tokens),262144.00
Total Usage Prompt Tokens (tokens),1048577.00
Total Usage Total Tokens (tokens),1310721.00
