Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Usage Prompt Tokens (tokens),512.00,512.00,512.00,327680.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,0.00
Usage Total Tokens (tokens),640.00,640.00,640.00,409600.00,640.00,640.00,640.00,640.00,640.00,640.00,640.00,640.00,640.00,0.00

Metric,Value
Benchmark Duration (sec),63.80
Input Token Throughput (tokens/sec),5135.66
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),1283.91
Request Count,640.00
Request Throughput (requests/sec),10.03
Total Input Sequence Length (tokens),327680.00
Total Output Sequence Length (tokens),81920.00
Total Output Tokens (tokens),81920.00
Total Token Throughput (tokens/sec),6419.57
Total Usage Completion Tokens (tokens),81920.00
Total Usage Prompt Tokens (tokens),327680.00
Total Usage Total Tokens (tokens),409600.00
