Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Usage Prompt Tokens (tokens),2063.00,2063.00,2063.00,2063.00,2063.00,2063.00,2063.00,2063.00,2063.00,2063.00,2063.00,2063.00,2063.00,0.00
Usage Total Tokens (tokens),3087.00,3087.00,3087.00,3087.00,3087.00,3087.00,3087.00,3087.00,3087.00,3087.00,3087.00,3087.00,3087.00,0.00

Metric,Value
Benchmark Duration (sec),35.64
Input Token Throughput (tokens/sec),57.88
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),28.73
Request Count,1.00
Request Throughput (requests/sec),0.03
Total Input Sequence Length (tokens),2063.00
Total Output Sequence Length (tokens),1024.00
Total Output Tokens (tokens),1024.00
Total Token Throughput (tokens/sec),86.61
Total Usage Completion Tokens (tokens),1024.00
Total Usage Prompt Tokens (tokens),2063.00
Total Usage Total Tokens (tokens),3087.00
