Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Tokens In Flight (tokens),23426.96,0.00,32142.92,,,,,,23362.55,,30391.03,31263.49,31961.45,4974.39

Metric,Value
Benchmark Duration (sec),86.33
Input Token Throughput (tokens/sec),189.75
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),189.56
Request Count,2.00
Request Throughput (requests/sec),0.02
Total Input Sequence Length (tokens),16384.00
Total Output Sequence Length (tokens),16368.00
Total Output Tokens (tokens),14140.00
Total Reasoning Tokens (tokens),2228.00
Total Token Throughput (tokens/sec),379.31


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
