Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Benchmark Duration (sec),86.89
Input Token Throughput (tokens/sec),11.83
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),94.24
Request Count,1.00
Request Throughput (requests/sec),0.01
Total Input Sequence Length (tokens),1028.00
Total Output Sequence Length (tokens),8190.00
Total Output Tokens (tokens),7561.00
Total Reasoning Tokens (tokens),629.00
Total Token Throughput (tokens/sec),106.07
