Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Usage Prompt Tokens (tokens),2063.00,2063.00,2063.00,8252.00,2063.00,2063.00,2063.00,2063.00,2063.00,2063.00,2063.00,2063.00,2063.00,0.00
Usage Total Tokens (tokens),3087.00,3087.00,3087.00,12348.00,3087.00,3087.00,3087.00,3087.00,3087.00,3087.00,3087.00,3087.00,3087.00,0.00

Metric,Value
Benchmark Duration (sec),68.40
Input Token Throughput (tokens/sec),120.63
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),59.87
Request Count,4.00
Request Throughput (requests/sec),0.06
Total Input Sequence Length (tokens),8252.00
Total Output Sequence Length (tokens),4096.00
Total Output Tokens (tokens),4096.00
Total Token Throughput (tokens/sec),180.50
Total Usage Completion Tokens (tokens),4096.00
Total Usage Prompt Tokens (tokens),8252.00
Total Usage Total Tokens (tokens),12348.00
