Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Metric,Value
Benchmark Duration (sec),77.24
Input Token Throughput (tokens/sec),1696.66
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),212.00
Request Count,16.00
Request Throughput (requests/sec),0.21
Total Input Sequence Length (tokens),131073.00
Total Output Sequence Length (tokens),16378.00
Total Output Tokens (tokens),1785.00
Total Reasoning Tokens (tokens),14593.00
Total Token Throughput (tokens/sec),1908.67
