framework,concurrency,req_isl,req_osl,tput_total,tput_per_user,ttft_p50,ttft_p95,itl_p50,req_latency_p50,isl,osl,requests,errors,source,pareto,framework_pareto
sglang-fp8-tuned-moe,16,512,128,256.0885864038919,18.146924599304946,997.8213519999999,1092.04995455,55.10078874409449,7993.591775,512.0,128.0,32,0,results/2026-09-02-qwen3-sglang-moe-tuning/exclusive-tuned/raw/isl512-osl128__sglang-fp8-tuned-moe-c16/profile_export_aiperf.json,True,True
sglang-fp8-tuned-moe,32,512,128,370.33436846971523,13.267529818260012,1233.743417,1990.43417835,77.24276039370078,11055.8085925,512.0,128.0,64,0,results/2026-09-02-qwen3-sglang-moe-tuning/exclusive-tuned/raw/isl512-osl128__sglang-fp8-tuned-moe-c32/profile_export_aiperf.json,True,True
sglang-fp8-tuned-moe,64,512,128,524.8778671697328,9.692858588059785,2362.3535435,3957.67087855,104.03228236220473,15593.7430285,512.0,128.0,128,0,results/2026-09-02-qwen3-sglang-moe-tuning/exclusive-tuned/raw/isl512-osl128__sglang-fp8-tuned-moe-c64/profile_export_aiperf.json,True,True
