Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Usage Prompt Tokens (tokens),1024.00,1024.00,1024.00,4096.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Usage Total Tokens (tokens),9216.00,9216.00,9216.00,36864.00,9216.00,9216.00,9216.00,9216.00,9216.00,9216.00,9216.00,9216.00,9216.00,0.00

Metric,Value
Benchmark Duration (sec),661.05
Input Token Throughput (tokens/sec),6.20
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),49.57
Request Count,4.00
Request Throughput (requests/sec),0.01
Total Input Sequence Length (tokens),4096.00
Total Output Sequence Length (tokens),32768.00
Total Output Tokens (tokens),32768.00
Total Token Throughput (tokens/sec),55.76
Total Usage Completion Tokens (tokens),32768.00
Total Usage Prompt Tokens (tokens),4096.00
Total Usage Total Tokens (tokens),36864.00
