Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Usage Prompt Tokens (tokens),512.00,512.00,513.00,2097154.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,0.02
Usage Total Tokens (tokens),640.00,640.00,641.00,2621442.00,640.00,640.00,640.00,640.00,640.00,640.00,640.00,640.00,640.00,0.02

Metric,Value
Benchmark Duration (sec),395.53
Input Token Throughput (tokens/sec),5302.14
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),1325.53
Request Count,4096.00
Request Throughput (requests/sec),10.36
Total Input Sequence Length (tokens),2097154.00
Total Output Sequence Length (tokens),524288.00
Total Output Tokens (tokens),524288.00
Total Token Throughput (tokens/sec),6627.68
Total Usage Completion Tokens (tokens),524288.00
Total Usage Prompt Tokens (tokens),2097154.00
Total Usage Total Tokens (tokens),2621442.00
